Source,Target,Weight
california_pepper,cinnamomum_oliveri_leaf,1
california_pepper,babaco,2
california_pepper,orange_flower,2
california_pepper,jasmine,3
california_pepper,thymus,5
california_pepper,cicuta_virosa_oil,1
california_pepper,pinus_sylvestris_oil,1
california_pepper,cinnamon_leaf,3
california_pepper,california_laurel_oil,1
california_pepper,eucalyptus_polibrac_tea_oil,1
california_pepper,litsea_guatemalensis_oil,1
california_pepper,japanese_calamus,1
california_pepper,finocchoi_fennel_oil,1
california_pepper,safflower_seed,5
california_pepper,calamus,7
california_pepper,doryphora_sassafras_leaf_oil,1
california_pepper,dill_seed,5
california_pepper,lantana_camara_oil,1
california_pepper,salvia_triloba_oil,1
california_pepper,japanese_star_anise,4
california_pepper,california_orange,17
california_pepper,mint_oil,8
california_pepper,boldo_leaf,1
california_pepper,lemon_peel,3
california_pepper,sage,6
california_pepper,neroli,4
california_pepper,malabar_cardamom_oil,1
california_pepper,asarum_canadense_root_oil,1
eucalyptus_oil,mastic_gum_leaf_oil,4
eucalyptus_oil,fennel,3
eucalyptus_oil,bell_pepper,6
eucalyptus_oil,european_cranberry,6
eucalyptus_oil,thai_pepper,6
eucalyptus_oil,black_pepper,6
eucalyptus_oil,gruyere_cheese,6
eucalyptus_oil,orange,7
eucalyptus_oil,kola_tea,8
eucalyptus_oil,cooked_apple,4
eucalyptus_oil,litchi,4
eucalyptus_oil,carrot,3
eucalyptus_oil,capsicum_annuum,6
eucalyptus_oil,long_pepper,6
eucalyptus_oil,swiss_cheese,3
eucalyptus_oil,peppermint_oil,3
eucalyptus_oil,apple,4
eucalyptus_oil,vanilla,3
eucalyptus_oil,cognac,7
eucalyptus_oil,lemon_balm,6
eucalyptus_oil,coriander,3
eucalyptus_oil,peppermint,4
eucalyptus_oil,black_currant,3
eucalyptus_oil,plum,4
eucalyptus_oil,cinnamon,4
eucalyptus_oil,green_tea,8
eucalyptus_oil,capsicum,6
eucalyptus_oil,lemon,3
eucalyptus_oil,israeli_orange,7
eucalyptus_oil,ashanti_pepper,7
eucalyptus_oil,japanese_peppermint,4
eucalyptus_oil,mint,5
eucalyptus_oil,cheddar_cheese,3
eucalyptus_oil,cayenne,6
eucalyptus_oil,parsley,6
eucalyptus_oil,pouching_tea,8
eucalyptus_oil,ethiopian_pepper,6
eucalyptus_oil,green_bell_pepper,6
eucalyptus_oil,malagueta_pepper,6
eucalyptus_oil,cumin,4
eucalyptus_oil,buchu_oil,5
eucalyptus_oil,german_chamomile_oil,2
eucalyptus_oil,mace,4
eucalyptus_oil,thymus,3
eucalyptus_oil,calytrix_tetragona_oil,1
eucalyptus_oil,marjoram,6
eucalyptus_oil,dried_parsley,6
eucalyptus_oil,pine_oil,2
eucalyptus_oil,hinoki_oil,1
eucalyptus_oil,chamaecyparis_formosensis_root_oil,1
eucalyptus_oil,abies_sibirica,1
eucalyptus_oil,ceylon_tea_cinnamon_leaf,1
eucalyptus_oil,seed,4
eucalyptus_oil,artemisia_santolinifolia,1
eucalyptus_oil,chamaecyparis_formosensis_oil,1
eucalyptus_oil,lovage_leaf,1
eucalyptus_oil,laurel,6
eucalyptus_oil,mastic_gum,5
eucalyptus_oil,guinea_pepper,6
eucalyptus_oil,rapeseed,4
eucalyptus_oil,mastic_gum_oil,4
eucalyptus_oil,safflower_seed,4
eucalyptus_oil,leaf_oil,1
eucalyptus_oil,hernandia_peltata_oil,1
eucalyptus_oil,bitter_fennel,1
eucalyptus_oil,monarda_punctata_oil,1
eucalyptus_oil,myrtle,7
eucalyptus_oil,siberian_pine_needle_oil,1
eucalyptus_oil,lantana_camara_oil,1
eucalyptus_oil,satureia_thymera,1
eucalyptus_oil,pepper,6
eucalyptus_oil,cruciferae_seed,4
eucalyptus_oil,calabash_nutmeg,3
eucalyptus_oil,eucalyptus,15
eucalyptus_oil,dill_seed,4
eucalyptus_oil,ocimum_viride,1
eucalyptus_oil,rosemary,5
eucalyptus_oil,calytrix_tetragona,1
eucalyptus_oil,temoe_lawak,1
eucalyptus_oil,malabar_cardamom_oil,1
eucalyptus_oil,buchu,5
eucalyptus_oil,melaleuca_trichostachya_oil,1
eucalyptus_oil,picea_alba_oil,1
eucalyptus_oil,perovski_abrotanoides_oil,1
eucalyptus_oil,niaouli_oil,1
eucalyptus_oil,caraway_seed,2
eucalyptus_oil,thyme,5
eucalyptus_oil,cinnamomum,1
eucalyptus_oil,tabasco_pepper,6
